IP,DATE_TIME,CODE,NAME,REGION,CITY,LAT,LON,USER_AGENT
'122.165.171.52','2023-08-15 02:35:05',IN,'India','Tamil Nadu','Chennai',13.087898,80.278479,'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML· like Gecko) Chrome/109.0.0.0 Safari/537.36'
'128.1.248.26','2023-08-15 14:52:29',US,'United States of America','California','Los Angeles',34.052571,-118.243907,'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML· like Gecko) Chrome/60.0.3112.113 Safari/537.36'
'128.14.141.34','2023-08-15 14:54:06',US,'United States of America','California','Los Angeles',34.052571,-118.243907,'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML· like Gecko) Chrome/60.0.3112.113 Safari/537.36'
'14.29.200.97','2023-08-15 14:23:42',CN,'China','Guangdong','Guangzhou',23.127361,113.264570,'Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML· like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1'
'140.246.136.252','2023-08-15 18:41:44',CN,'China','Shandong','Jinan',36.668330,116.997220,'Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML· like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1'
'157.245.118.189','2023-08-16 09:00:19',US,'United States of America','New Jersey','Clifton',40.858585,-74.163605,'Mozilla/5.0 (X11; Linux x86_64; rv:73.0) Gecko/20100101 Firefox/73.0'
'162.216.150.172','2023-08-16 01:50:10',US,'United States of America','South Carolina','North Charleston',32.888701,-80.007581,'Expanse· a Palo Alto Networks company· searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans· please send IP addresses/domains to: scaninfo@paloaltonetworks.com'
'162.216.150.201','2023-08-15 03:22:35',US,'United States of America','South Carolina','North Charleston',32.888701,-80.007581,'Expanse· a Palo Alto Networks company· searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans· please send IP addresses/domains to: scaninfo@paloaltonetworks.com'
'162.216.150.8','2023-08-15 06:56:29',US,'United States of America','South Carolina','North Charleston',32.888701,-80.007581,'Expanse· a Palo Alto Networks company· searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans· please send IP addresses/domains to: scaninfo@paloaltonetworks.com'
'185.180.143.190','2023-08-15 23:17:58',BE,'Belgium','Brussels Hoofdstedelijk Gewest','Brussels',50.850450,4.348780,'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML· like Gecko) Chrome/60.0.3112.113 Safari/537.36'
'198.235.24.151','2023-08-15 10:29:02',US,'United States of America','California','Santa Clara',37.352100,-121.958200,'Expanse· a Palo Alto Networks company· searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans· please send IP addresses/domains to: scaninfo@paloaltonetworks.com'
'199.244.88.226','2023-08-16 06:08:11',US,'United States of America','Illinois','Streamwood',42.022521,-88.167519,'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML· like Gecko) Chrome/105.0.0.0 Safari/537.36'
'205.210.31.33','2023-08-15 11:15:04',US,'United States of America','California','Santa Clara',37.352100,-121.958200,'Expanse· a Palo Alto Networks company· searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans· please send IP addresses/domains to: scaninfo@paloaltonetworks.com'
'207.90.244.12','2023-08-16 02:07:47',US,'United States of America','Texas','Pflugerville',30.443264,-97.628175,'Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML· like Gecko) Chrome/41.0.2228.0 Safari/537.36'
'216.218.206.68','2023-08-15 02:40:50',US,'United States of America','California','Fremont',37.517979,-121.929488,'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML· like Gecko) Version/16.3 Safari/605.1.15'
'35.203.210.17','2023-08-15 19:10:34',GB,'United Kingdom of Great Britain and Northern Ireland','England','London',51.508530,-0.125740,'Expanse· a Palo Alto Networks company· searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans· please send IP addresses/domains to: scaninfo@paloaltonetworks.com'
'42.83.147.56','2023-08-16 04:32:34',CN,'China','Beijing','Beijing',39.907500,116.397100,'Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML· like Gecko)Chrome/74.0.3729.169 Safari/537.36'
'45.156.129.32','2023-08-14 23:47:51',BE,'Belgium','Brussels Hoofdstedelijk Gewest','Brussels',50.850450,4.348780,'Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML· like Gecko) Chrome/66.0.3359.117 Safari/537.36'
'45.83.65.36','2023-08-16 07:10:14',DE,'Germany','Berlin','Berlin',52.524526,13.410037,'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0'
'46.48.13.161','2023-08-15 17:38:07',RU,'Russian Federation','Sverdlovskaya oblast','Yekaterinburg',56.857500,60.612500,'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0'
'64.62.197.231','2023-08-16 04:22:36',US,'United States of America','California','Pleasanton',37.685314,-121.894812,'Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/109.0'
'65.30.143.131','2023-08-15 11:52:27',US,'United States of America','Wisconsin','Waukesha',43.011605,-88.231460,'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML· like Gecko) Chrome/115.0.0.0 Safari/537.36'
'65.49.20.66','2023-08-15 04:19:36',US,'United States of America','California','Fremont',37.548270,-121.988570,'Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/110.0'
'72.14.199.96','2023-08-15 13:12:07',US,'United States of America','Oregon','The Dalles',45.594782,-121.178686,'Mediapartners-Google'
