IP,DATE_TIME,CODE,NAME,REGION,CITY,LAT,LON,USER_AGENT
'14.116.152.84','2023-08-15 05:07:25',CN,'China','Guangdong','Shenzhen',22.545673,114.068110,'Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML· like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1'
'157.230.230.18','2023-08-15 21:42:29',US,'United States of America','New Jersey','North Bergen',40.804077,-74.012366,'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5311 (KHTML· like Gecko) Chrome/38.0.894.0 Mobile Safari/5311'
'172.232.34.5','2023-08-16 06:46:40',AU,'Australia','New South Wales','Sydney',-33.867780,151.207052,'Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0'
'198.235.24.79','2023-08-15 21:48:54',US,'United States of America','California','Santa Clara',37.352100,-121.958200,'Expanse· a Palo Alto Networks company· searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans· please send IP addresses/domains to: scaninfo@paloaltonetworks.com'
'3.81.67.186','2023-08-14 19:15:09',US,'United States of America','Virginia','Ashburn',39.039474,-77.491809,'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML· like Gecko) Chrome/58.0.3029.110 Safari/537.36'
'34.210.71.230','2023-08-16 10:14:09',US,'United States of America','Oregon','Boardman',45.839860,-119.700580,'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML· like Gecko) Chrome/83.0.4103.97 Safari/537.36'
'34.217.212.127','2023-08-16 08:55:20',US,'United States of America','Oregon','Boardman',45.839860,-119.700580,'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML· like Gecko) Chrome/83.0.4103.97 Safari/537.36'
'34.222.131.223','2023-08-15 08:22:29',US,'United States of America','Oregon','Boardman',45.839860,-119.700580,'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML· like Gecko) Chrome/83.0.4103.97 Safari/537.36'
'35.160.5.17','2023-08-16 10:14:11',US,'United States of America','Oregon','Boardman',45.839860,-119.700580,'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML· like Gecko) Chrome/83.0.4103.97 Safari/537.36'
'35.88.193.135','2023-08-16 08:55:48',US,'United States of America','Oregon','Boardman',45.839860,-119.700580,'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML· like Gecko) Chrome/83.0.4103.97 Safari/537.36'
'40.77.167.231','2023-08-15 03:07:33',US,'United States of America','Virginia','Boydton',36.667640,-78.387500,'Mozilla/5.0 AppleWebKit/537.36 (KHTML· like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36'
'42.83.147.55','2023-08-15 01:46:44',CN,'China','Beijing','Beijing',39.907500,116.397100,'Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML· like Gecko)Chrome/74.0.3729.169 Safari/537.36'
'45.55.197.113','2023-08-16 01:45:32',US,'United States of America','New Jersey','Clifton',40.858585,-74.163605,'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML· like Gecko) Chrome/108.0.0.0 Safari/537.36'
'52.167.144.105','2023-08-16 03:55:24',US,'United States of America','Virginia','Boydton',36.667640,-78.387500,'Mozilla/5.0 AppleWebKit/537.36 (KHTML· like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36'
'52.39.206.75','2023-08-15 08:22:22',US,'United States of America','Oregon','Boardman',45.839860,-119.700580,'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML· like Gecko) Chrome/83.0.4103.97 Safari/537.36'
'52.89.22.81','2023-08-16 10:14:44',US,'United States of America','Oregon','Boardman',45.839860,-119.700580,'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML· like Gecko) Chrome/83.0.4103.97 Safari/537.36'
'54.184.120.174','2023-08-16 08:55:42',US,'United States of America','Oregon','Boardman',45.839860,-119.700580,'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML· like Gecko) Chrome/83.0.4103.97 Safari/537.36'
'54.185.198.226','2023-08-16 10:14:30',US,'United States of America','Oregon','Boardman',45.839860,-119.700580,'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML· like Gecko) Chrome/83.0.4103.97 Safari/537.36'
'54.190.95.42','2023-08-15 08:21:40',US,'United States of America','Oregon','Boardman',45.839860,-119.700580,'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML· like Gecko) Chrome/83.0.4103.97 Safari/537.36'
'62.122.184.192','2023-08-15 22:02:53',RU,'Russian Federation','Moskva','Moscow',55.752259,37.615470,'Opera/9.80 (Windows NT 6.1; U; ru) Presto/2.9.168 Version/11.50'
