IP,DATE_TIME,CODE,NAME,REGION,CITY,LAT,LON,USER_AGENT
'101.68.211.2','2023-08-15 17:29:37',CN,'China','Zhejiang','Jiaxing',30.752200,120.750000,'Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:47.0) Gecko/20100101 Firefox/47.0'
'113.142.131.55','2023-08-16 05:51:21',CN,'China','Shaanxi','Xianyang',34.337780,108.702610,'Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML· like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1'
'142.93.62.250','2023-08-15 03:45:19',US,'United States of America','New Jersey','North Bergen',40.804077,-74.012366,'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML· like Gecko) Chrome/108.0.0.0 Safari/537.36'
'172.232.32.169','2023-08-15 21:18:51',AU,'Australia','New South Wales','Sydney',-33.867780,151.207052,'Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0'
'178.62.87.17','2023-08-16 00:14:49',GB,'United Kingdom of Great Britain and Northern Ireland','England','London',51.508530,-0.125740,'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML· like Gecko) Chrome/108.0.0.0 Safari/537.36'
'198.235.24.193','2023-08-14 20:17:19',US,'United States of America','California','Santa Clara',37.352100,-121.958200,'Expanse· a Palo Alto Networks company· searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans· please send IP addresses/domains to: scaninfo@paloaltonetworks.com'
'205.210.31.103','2023-08-14 20:29:19',US,'United States of America','California','Santa Clara',37.352100,-121.958200,'Expanse· a Palo Alto Networks company· searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans· please send IP addresses/domains to: scaninfo@paloaltonetworks.com'
'42.83.147.34','2023-08-15 11:03:13',CN,'China','Beijing','Beijing',39.907500,116.397100,'Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML· like Gecko)Chrome/74.0.3729.169 Safari/537.36'
'46.48.13.161','2023-08-16 01:16:30',RU,'Russian Federation','Sverdlovskaya oblast','Yekaterinburg',56.857500,60.612500,'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0'
'5.133.192.160','2023-08-14 22:50:25',SE,'Sweden','Stockholms lan','Stockholm',59.332748,18.064841,'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML· like Gecko) Chrome/105.0.0.0 Safari/537.36'
'65.30.143.131','2023-08-15 13:09:32',US,'United States of America','Wisconsin','Waukesha',43.011605,-88.231460,'Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML· like Gecko) Chrome/115.0.0.0 Safari/537.36'
